Cluster,HLA,Correlation
3of6,HLA_B0704,0.4
6of6,HLA_B1501,0.4
6of6,HLA_A0206,0.4
6of6,HLA_A0205,0.4
3of6,HLA_C0401,0.4
1of6,HLA_B4701,0.4
3of6,HLA_A6802,0.4
2of6,HLA_A6801,0.4
3of6,HLA_A2402,0.4
6of6,HLA_A3002,0.4
3of6,HLA_A0206,0.39
2of6,HLA_B4601,0.39
1of6,HLA_C1203,0.39
4of6,HLA_A2608,0.39
1of6,HLA_B5108,0.39
6of6,HLA_B4403,0.39
6of6,HLA_B2704,0.39
6of6,HLA_C0102,0.39
6of6,HLA_A0211,0.39
4of6,HLA_B0801,0.39
1of6,HLA_A3101,0.39
3of6,HLA_A3001,0.39
3of6,HLA_C1204,0.39
6of6,HLA_A2902,0.39
6of6,HLA_C1601,0.39
2of6,HLA_B3901,0.39
3of6,HLA_B1401,0.39
1of6,HLA_B0702,0.39
2of6,HLA_A2601,0.38
6of6,HLA_B2705,0.38
3of6,HLA_C0501,0.38
2of6,HLA_C1204,0.38
3of6,HLA_B4801,0.38
2of6,HLA_B3507,0.38
6of6,HLA_B4801,0.38
4of6,HLA_B2705,0.38
4of6,HLA_A2601,0.38
3of6,HLA_B3802,0.38
3of6,HLA_C0702,0.38
6of6,HLA_B4402,0.38
1of6,HLA_C1403,0.38
4of6,HLA_B3901,0.38
6of6,HLA_B3802,0.38
4of6,HLA_B4032,0.38
6of6,HLA_C0501,0.38
6of6,HLA_B3801,0.38
6of6,HLA_A2407,0.38
4of6,HLA_B1511,0.38
4of6,HLA_B1513,0.38
4of6,HLA_B3924,0.38
1of6,HLA_A7401,0.38
6of6,HLA_A2608,0.38
6of6,HLA_B1302,0.38
3of6,HLA_B4001,0.38
1of6,HLA_C1701,0.37
2of6,HLA_C0401,0.37
2of6,HLA_B3905,0.37
6of6,HLA_C1505,0.37
2of6,HLA_C0802,0.37
3of6,HLA_B4405,0.37
1of6,HLA_A1102,0.37
1of6,HLA_C1505,0.37
3of6,HLA_C1403,0.37
3of6,HLA_B7301,0.37
5of6,HLA_B3501,0.37
1of6,HLA_B3502,0.37
1of6,HLA_C0102,0.37
6of6,HLA_C0701,0.37
6of6,HLA_C0704,0.37
1of6,HLA_A3401,0.37
3of6,HLA_A2902,0.37
1of6,HLA_B4201,0.36
4of6,HLA_C0602,0.36
1of6,HLA_B1302,0.36
1of6,HLA_A2407,0.36
6of6,HLA_B4405,0.36
2of6,HLA_B1518,0.36
2of6,HLA_A0302,0.36
2of6,HLA_B3924,0.36
6of6,HLA_A3001,0.36
2of6,HLA_B4801,0.36
6of6,HLA_B4901,0.36
6of6,HLA_B0801,0.36
2of6,HLA_B3906,0.36
