Cluster,HLA,Correlation
2of5,HLA_B1502,0.13
2of5,HLA_B3701,0.13
2of5,HLA_B2704,0.13
2of5,HLA_C0403,0.13
5of5,HLA_A7401,0.13
2of5,HLA_B4403,0.13
3of5,HLA_C0401,0.13
2of5,HLA_B4405,0.13
2of5,HLA_B5502,0.13
2of5,HLA_A3002,0.12
2of5,HLA_C0702,0.12
2of5,HLA_A3601,0.12
2of5,HLA_B3924,0.11
5of5,HLA_B7301,0.11
2of5,HLA_B1510,0.11
1of5,HLA_B1803,0.11
2of5,HLA_A2501,0.1
2of5,HLA_A2301,0.1
2of5,HLA_B1503,0.1
2of5,HLA_B4801,0.1
5of5,HLA_A1102,0.1
2of5,HLA_B4501,0.1
5of5,HLA_A0302,0.1
2of5,HLA_A2402,0.1
5of5,HLA_B5501,0.1
3of5,HLA_B5108,0.09
5of5,HLA_A6601,0.09
2of5,HLA_B7301,0.08
2of5,HLA_B3502,0.08
5of5,HLA_B4101,0.07
3of5,HLA_B4701,0.07
3of5,HLA_B3924,0.07
1of5,HLA_B4101,0.07
2of5,HLA_A2407,0.06
2of5,HLA_B5501,0.06
5of5,HLA_A3301,0.06
3of5,HLA_C1402,0.06
5of5,HLA_B4501,0.06
2of5,HLA_C1403,0.05
5of5,HLA_A3303,0.05
2of5,HLA_C0501,0.05
3of5,HLA_C0403,0.05
2of5,HLA_C0102,0.05
3of5,HLA_C0102,0.05
5of5,HLA_A3401,0.05
3of5,HLA_B5501,0.04
2of5,HLA_C1402,0.04
2of5,HLA_B6701,0.04
4of5,HLA_B4101,0.04
3of5,HLA_B4002,0.04
3of5,HLA_B5401,0.04
3of5,HLA_B5101,0.03
3of5,HLA_C0501,0.03
2of5,HLA_C0401,0.03
3of5,HLA_C1403,0.02
3of5,HLA_B5201,0.02
2of5,HLA_C0802,0.02
3of5,HLA_B5502,0.02
3of5,HLA_A2402,0.01
3of5,HLA_A3001,0.01
3of5,HLA_B0702,0.01
3of5,HLA_A6801,0.0
3of5,HLA_C0802,0.0
3of5,HLA_C0702,0.0
3of5,HLA_B4101,-0.01
3of5,HLA_B5601,-0.01
3of5,HLA_B4201,-0.01
3of5,HLA_B3906,-0.02
3of5,HLA_C0602,-0.02
2of5,HLA_B4201,-0.02
3of5,HLA_B1803,-0.02
3of5,HLA_A2407,-0.02
3of5,HLA_A0207,-0.03
3of5,HLA_C1204,-0.03
3of5,HLA_A3002,-0.03
3of5,HLA_A3303,-0.03
3of5,HLA_A2301,-0.04
3of5,HLA_B8101,-0.04
3of5,HLA_C1602,-0.04
3of5,HLA_A0101,-0.04
3of5,HLA_B3508,-0.04
3of5,HLA_B2704,-0.04
3of5,HLA_B1518,-0.04
3of5,HLA_B3905,-0.04
3of5,HLA_B0704,-0.04
2of5,HLA_B0702,-0.04
3of5,HLA_B7301,-0.04
3of5,HLA_B5001,-0.04
3of5,HLA_B4901,-0.05
3of5,HLA_C1505,-0.05
